id,name,now_cost,position,team,expected_assists_per_90,goals_conceded_per_90,points_per_game_rank_type,expected_goals,now_cost_rank,web_name,yellow_cards,transfers_in,selected_by_percent,starts,creativity,cost_change_start_fall,bps,penalties_saved,assists,minutes,penalties_order,ict_index_rank,points_per_game,expected_goals_per_90,ep_this,ep_next,bonus,ict_index,cost_change_event,expected_goals_conceded_per_90,region,total_points,selected_rank,dreamteam_count,form_rank,expected_assists,expected_goal_involvements_per_90,event_points,team_join_date,form_rank_type,influence_rank,saves_per_90,ict_index_rank_type,creativity_rank_type,starts_per_90,threat_rank_type,creativity_rank,transfers_out,value_season,influence_rank_type,chance_of_playing_this_round,can_select,chance_of_playing_next_round,expected_goal_involvements,clean_sheets_per_90,threat,selected_rank_type,penalties_missed,value_form,cost_change_start,in_dreamteam,news,direct_freekicks_order,news_added,goals_scored,threat_rank,red_cards,goals_conceded,corners_and_indirect_freekicks_order,cost_change_event_fall,influence,clean_sheets,own_goals,points_per_game_rank,transfers_in_event,saves,transfers_out_event,status,now_cost_rank_type,form,expected_goals_conceded
121,Julio Enciso,54,MID,Brighton,0.08,1.26,183,1.06,135,Enciso,0,12883,0.1,2,78.5,1,60,0,0,285,,270,1.2,0.33,1.0,0.5,0,27.7,0,1.53,168.0,13,468,0,276,0.25,0.41,1,2022-06-17,136,369,0.0,138,150,0.63,81,237,15166,2.4,172,100.0,True,100.0,1.31,0.32,153.0,171,0,0.2,-1,False,,3.0,2024-08-12T14:30:04.495991Z,0,120,0,4,5.0,0,47.2,1,0,381,575,0,433,a,80,1.0,4.85
122,Pervis Estupiñán,51,DEF,Brighton,0.12,1.72,102,0.44,180,Estupiñan,3,330576,1.5,12,357.5,-1,148,0,1,1152,,100,1.7,0.03,2.3,1.3,3,68.5,0,1.7,62.0,26,172,0,150,1.55,0.15,0,2022-07-16,44,146,0.0,19,8,0.94,58,44,205471,5.1,54,100.0,True,75.0,1.99,0.08,74.0,69,0,0.5,1,False,Illness - 75% chance of playing,2.0,2024-12-31T16:00:06.770488Z,0,220,0,22,2.0,0,252.0,1,0,313,1814,0,38059,d,21,2.3,21.71
123,Evan Ferguson,55,FWD,Brighton,0.16,2.07,35,0.57,118,Ferguson,0,65317,0.3,2,35.6,0,65,0,0,217,,344,1.6,0.24,0.8,0.0,2,14.6,0,1.79,104.0,19,315,0,317,0.39,0.4,0,2021-08-23,36,356,0.0,37,35,0.83,38,310,58470,3.5,35,100.0,True,0.0,0.96,0.41,57.0,51,0,0.1,0,False,Ankle injury - Unknown return date,5.0,2024-12-31T16:00:06.783068Z,1,245,0,5,,0,56.6,1,0,329,526,0,3215,i,35,0.8,4.32
124,Billy Gilmour,50,MID,Brighton,0.04,0.93,159,0.08,211,Gilmour,0,2640,0.0,1,11.9,0,21,0,0,97,,436,1.5,0.07,0.0,0.0,0,2.5,0,1.22,,3,550,0,672,0.04,0.11,0,,300,435,0.0,210,208,0.93,221,383,16445,0.6,203,0.0,False,0.0,0.12,0.0,2.0,219,0,0.0,0,False,Transferred to Napoli,,2024-08-31T06:42:09.507349Z,0,416,0,1,,0,11.4,0,0,341,0,0,25,u,133,0.0,1.32
125,Pascal Groß,65,MID,Brighton,0.0,0.0,318,0.00,40,Gross,0,0,0.0,0,0.0,0,0,0,0,0,,706,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,0,587,0,701,0.00,0.0,0,,316,706,0.0,318,317,0.0,318,705,8188,0.0,318,0.0,False,0.0,0.00,0.0,0.0,244,0,0.0,0,False,Permanent transfer to Borussia Dortmund,,2024-08-02T13:11:40.837259Z,0,706,0,0,,0,0.0,0,0,706,0,0,12,u,21,0.0,0.00
126,Jack Hinshelwood,49,MID,Brighton,0.07,1.39,61,0.74,280,Hinshelwood,2,23462,0.1,10,111.3,1,129,0,0,839,,250,2.8,0.08,0.0,-0.4,3,30.6,0,1.81,241.0,28,515,1,664,0.68,0.15,0,2022-12-30,293,278,0.0,127,122,1.07,123,190,24187,5.7,123,25.0,True,75.0,1.42,0.32,76.0,200,0,0.0,-1,False,Lack of match fitness - 75% chance of playing,,2024-11-10T01:30:07.476316Z,1,212,0,13,,0,117.0,3,0,145,6,0,188,d,183,0.0,16.85
127,Ibrahim Osman,50,MID,Brighton,0.0,0.0,313,0.00,233,I.Osman,0,0,0.0,0,0.0,0,0,0,0,0,,697,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,0,685,0,682,0.00,0.0,0,,306,697,0.0,313,312,0.0,311,694,1141,0.0,313,0.0,False,0.0,0.00,0.0,0.0,302,0,0.0,0,False,Loaned to Feyenoord,,2024-08-16T11:54:28.483822Z,0,690,0,0,,0,0.0,0,0,697,0,0,4,u,149,0.0,0.00
128,Igor Julio dos Santos de Paulo,44,DEF,Brighton,0.02,1.62,115,0.05,493,Igor,4,13041,0.1,8,38.1,1,93,0,0,835,,301,1.4,0.01,0.3,-0.2,0,21.3,0,1.57,30.0,15,438,0,355,0.22,0.03,0,2023-07-26,119,220,0.0,99,95,0.86,136,304,16447,3.4,83,,True,,0.27,0.11,4.0,156,0,0.1,-1,False,,,,0,392,0,15,,0,170.2,1,0,347,108,0,696,a,99,0.3,14.55
129,João Pedro Junqueira de Jesus,57,FWD,Brighton,0.17,1.04,6,2.81,95,João Pedro,1,4404057,16.1,11,245.9,-2,270,0,5,948,1.0,64,5.1,0.27,3.7,3.2,12,85.2,0,1.25,30.0,66,23,2,69,1.82,0.44,9,2023-06-14,10,111,0.0,15,4,1.04,20,84,4552609,11.6,16,100.0,True,100.0,4.63,0.38,313.0,7,0,0.6,2,False,,,2024-11-07T23:00:07.502402Z,4,47,0,11,,0,293.8,4,0,14,74514,0,162322,a,26,3.7,13.12
130,Kacper Kozłowski,45,MID,Brighton,0.0,0.0,263,0.00,407,Kozlowski,0,0,0.0,0,0.0,0,0,0,0,0,,620,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,0,709,0,577,0.00,0.0,0,,231,620,0.0,259,261,0.0,255,615,94,0.0,259,0.0,False,0.0,0.00,0.0,0.0,319,0,0.0,0,False,Permanent transfer to Gaziantep FK,,2024-07-22T09:03:00.342050Z,0,598,0,0,,0,0.0,0,0,627,0,0,0,u,246,0.0,0.00
131,Tariq Lamptey,44,DEF,Brighton,0.05,2.85,19,0.25,499,Lamptey,0,62439,0.4,4,48.3,1,55,0,2,347,,297,3.4,0.06,2.7,2.2,1,21.8,0,1.71,81.0,24,278,1,115,0.21,0.11,7,2020-01-31,30,254,0.0,96,84,1.04,90,290,45861,5.5,93,100.0,True,100.0,0.46,0.0,31.0,105,0,0.6,-1,False,,,2024-11-13T14:00:07.816484Z,2,288,0,11,,0,138.6,0,0,87,3970,0,3908,a,101,2.7,6.58
132,Solly March,65,MID,Brighton,0.0,0.0,223,0.07,42,March,0,1682,0.0,0,0.0,0,4,0,0,2,,476,1.0,3.15,0.2,-0.3,0,0.5,0,0.0,241.0,1,633,0,414,0.00,3.15,0,2012-07-01,197,479,0.0,225,318,0.0,212,706,1385,0.2,225,100.0,True,100.0,0.07,0.0,4.0,273,0,0.0,0,False,,,2024-07-17T13:30:04.993410Z,0,398,0,0,,0,1.0,0,0,463,389,0,152,a,22,0.2,0.00
133,Adrian Mazilu,45,MID,Brighton,0.0,0.0,288,0.00,451,Mazilu,0,720,0.0,0,0.0,0,0,0,0,0,,651,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,0,638,0,612,0.00,0.0,0,,260,651,0.0,285,286,0.0,281,646,4005,0.0,285,0.0,False,0.0,0.00,0.0,0.0,278,0,0.0,0,False,Has joined Vitesse Arnhem on loan for the rest of the season,,2024-08-29T11:08:43.963582Z,0,631,0,0,,0,0.0,0,0,657,0,0,19,u,281,0.0,0.00
134,James Milner,50,MID,Brighton,0.08,0.53,140,0.16,187,Milner,1,4627,0.0,3,66.3,0,24,0,0,169,,361,1.7,0.09,0.0,-0.1,0,10.7,0,1.05,241.0,5,542,0,667,0.15,0.17,0,2023-07-01,295,394,0.0,177,158,1.6,187,254,10437,1.0,182,25.0,True,25.0,0.31,0.53,12.0,216,0,0.0,0,False,Hamstring injury - 25% chance of playing,,2024-08-31T21:00:04.655035Z,0,353,0,1,,0,28.6,1,0,309,18,0,57,d,116,0.0,1.98
135,Yankuba Minteh,51,MID,Brighton,0.27,1.54,85,1.33,186,Minteh,2,258306,0.4,6,164.9,4,124,0,2,585,,177,2.4,0.2,2.0,1.5,0,47.5,0,1.35,78.0,34,287,0,179,1.76,0.47,1,2024-07-01,82,253,0.0,95,93,0.92,76,135,355710,6.7,110,100.0,True,100.0,3.09,0.15,167.0,90,0,0.4,-4,False,,,2024-10-19T22:30:05.622192Z,2,115,0,10,5.0,0,142.0,1,0,203,242,0,1409,a,115,2.0,8.79
136,Mitoma Kaoru,64,MID,Brighton,0.17,1.4,30,4.05,51,Mitoma,0,1926635,5.8,17,411.0,1,285,0,3,1544,,20,3.6,0.24,2.0,1.5,6,121.9,-1,1.46,108.0,69,68,0,184,2.88,0.41,1,2021-08-09,86,95,0.0,15,25,0.99,9,30,1723985,10.8,34,100.0,True,100.0,6.93,0.17,494.0,20,0,0.3,-1,False,,,2024-12-03T12:30:08.039613Z,3,17,0,24,,1,314.4,3,0,73,6276,0,79347,a,29,2.0,25.11
137,Jakub Moder,44,MID,Brighton,5.96,0.0,189,0.00,503,Moder,0,171348,0.7,0,36.0,1,14,0,0,8,,410,1.0,0.0,0.2,-0.3,0,5.4,0,2.92,172.0,3,238,0,391,0.53,5.96,1,2020-10-05,184,426,0.0,197,178,0.0,216,309,144002,0.7,200,,True,,0.53,0.0,2.0,75,0,0.0,-1,False,,,,0,410,0,0,,0,15.8,0,0,417,1023,0,3788,a,300,0.2,0.26
138,Mark O’Mahony,45,FWD,Brighton,0.0,0.0,61,0.00,458,O’Mahony,0,31158,0.2,0,0.0,0,0,0,0,0,,656,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,0,339,0,616,0.00,0.0,0,,55,656,0.0,59,59,0.0,59,651,70784,0.0,59,0.0,False,0.0,0.00,0.0,0.0,56,0,0.0,0,False,Season long to Portsmouth,,2024-08-30T10:16:16.061223Z,0,636,0,0,,0,0.0,0,0,661,0,0,613,u,73,0.0,0.00
139,Odeluga Offiah,40,DEF,Brighton,0.0,0.0,183,0.00,631,Offiah,0,2639,0.1,0,0.0,0,0,0,0,0,,521,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,0,496,0,456,0.00,0.0,0,,162,521,0.0,184,181,0.0,167,501,13132,0.0,184,0.0,False,0.0,0.00,0.0,0.0,179,0,0.0,0,False,Loaned to Blackpool,,2024-08-31T06:26:46.238644Z,0,465,0,0,,0,0.0,0,0,527,0,0,91,u,178,0.0,0.00
140,Cameron Peupion,44,MID,Brighton,0.0,0.0,238,0.00,513,Peupion,0,9082,0.1,0,0.0,1,0,0,0,0,,583,0.0,0.0,0.0,-0.5,0,0.0,0,0.0,13.0,0,486,0,536,0.00,0.0,0,2022-08-23,204,583,0.0,234,236,0.0,228,577,9073,0.0,234,,True,,0.00,0.0,0.0,182,0,0.0,-1,False,,,,0,556,0,0,,0,0.0,0,0,590,451,0,453,a,304,0.0,0.00
141,Jeremy Sarmiento Morante,49,MID,Brighton,0.0,0.0,212,0.00,267,Sarmiento,0,354,0.0,0,0.8,1,3,0,0,8,,486,1.0,0.0,0.0,0.0,0,0.1,0,0.0,,1,651,0,658,0.00,0.0,0,,288,485,0.0,230,224,0.0,299,441,2917,0.2,229,0.0,False,0.0,0.00,0.0,0.0,285,0,0.0,-1,False,Loaned to Burnley,,2024-08-31T06:27:42.007071Z,0,669,0,0,,0,0.2,0,0,448,0,0,4,u,174,0.0,0.00
142,Jason Steele,41,GKP,Brighton,0.0,0.5,5,0.00,588,Steele,0,293548,1.0,2,0.0,4,46,0,0,180,,421,4.5,0.0,0.0,-0.5,1,4.1,-1,0.94,241.0,9,208,0,501,0.00,0.0,0,2018-07-01,62,377,1.5,33,48,1.0,36,545,312021,2.2,33,,True,,0.00,0.5,0.0,29,0,0.0,-4,False,,,,0,514,0,1,,1,40.4,1,0,31,2224,3,4037,a,39,0.0,1.88
143,Deniz Undav,55,FWD,Brighton,0.0,0.0,75,0.00,116,Undav,0,0,0.0,0,0.0,0,0,0,0,0,,703,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,0,679,0,695,0.00,0.0,0,,74,703,0.0,75,75,0.0,75,701,1448,0.0,75,0.0,False,0.0,0.00,0.0,0.0,78,0,0.0,0,False,Transferred to Stuttgart,,2024-08-10T12:18:55.962223Z,0,701,0,0,,0,0.0,0,0,703,0,0,4,u,34,0.0,0.00
144,Jan Paul van Hecke,45,DEF,Brighton,0.05,1.26,61,0.61,403,Van Hecke,4,189416,0.9,16,136.2,0,206,0,1,1430,,134,2.4,0.04,2.5,2.0,3,57.1,0,1.39,152.0,41,214,1,131,0.77,0.09,1,2020-09-10,37,63,0.0,33,33,1.01,51,160,142657,9.1,22,100.0,True,100.0,1.38,0.19,78.0,85,0,0.6,0,False,,,2024-09-29T22:30:06.452903Z,0,205,0,20,,0,356.2,3,0,197,1756,0,8068,a,77,2.5,22.05
145,Joël Veltman,45,DEF,Brighton,0.09,1.06,22,0.13,363,Veltman,2,614162,2.0,13,75.2,0,187,0,0,1109,,263,3.3,0.01,1.5,1.0,7,28.8,0,1.33,152.0,43,138,1,211,1.11,0.1,0,2020-07-29,69,202,0.0,81,63,1.06,104,244,544291,9.6,78,100.0,True,100.0,1.24,0.32,21.0,55,0,0.3,0,False,,,2024-11-30T01:00:07.662889Z,0,314,0,13,,0,190.8,4,0,98,1079,0,12957,a,61,1.5,16.33
146,Bart Verbruggen,45,GKP,Brighton,0.0,1.59,23,0.00,410,Verbruggen,2,506648,2.8,17,0.0,0,194,0,0,1530,,178,2.9,0.0,2.8,2.3,4,46.8,0,1.63,152.0,50,115,1,107,0.00,0.0,2,2023-07-03,9,18,3.0,7,66,1.0,60,617,283391,11.1,7,100.0,True,100.0,0.00,0.18,0.0,17,0,0.6,0,False,,,2024-08-12T14:30:04.523944Z,0,601,0,27,,0,466.8,3,0,133,9753,51,23610,a,17,2.8,27.68
147,Adam Webster,43,DEF,Brighton,0.03,4.62,169,0.00,539,Webster,0,3114,0.1,2,1.8,2,7,0,0,78,,439,0.3,0.0,0.0,-0.5,0,2.4,0,4.56,241.0,1,504,0,510,0.03,0.03,0,2019-08-03,204,410,0.0,149,155,2.31,143,431,10714,0.2,144,75.0,True,100.0,0.03,0.0,2.0,181,0,0.0,-2,False,,,2024-12-23T14:30:07.986462Z,0,407,0,4,,0,20.4,0,0,493,23,0,83,a,116,0.0,3.95
148,Danny Welbeck,55,FWD,Brighton,0.04,1.3,8,5.57,102,Welbeck,1,3688705,6.5,13,173.8,0,247,0,2,1111,3.0,67,4.9,0.45,0.1,0.0,13,83.7,-1,1.68,241.0,69,64,1,412,0.44,0.49,0,2020-10-18,44,114,0.0,16,13,1.05,16,129,3421142,12.5,17,25.0,True,0.0,6.01,0.41,370.0,14,0,0.0,0,False,Ankle injury - Unknown return date,1.0,2024-12-16T09:30:06.558564Z,6,37,0,16,,1,293.0,5,0,18,254,0,87903,i,29,0.2,20.73
149,Mats Wieffer,47,MID,Brighton,0.03,2.33,94,0.50,333,Wieffer,2,16029,0.1,4,80.3,3,104,0,2,464,,269,2.2,0.1,1.9,0.5,3,27.8,0,1.88,152.0,28,475,0,132,0.18,0.13,0,2024-07-06,60,252,0.0,137,148,0.78,135,232,18968,6.0,109,75.0,True,25.0,0.68,0.19,57.0,175,0,0.5,-3,False,Thigh injury - 25% chance of playing,,2024-12-21T22:00:08.030972Z,1,243,0,12,,0,144.0,1,0,223,370,0,686,d,215,2.5,9.70
595,Brajan Gruda,54,MID,Brighton,0.16,2.32,176,0.11,136,Gruda,0,1485,0.0,3,114.2,1,43,0,0,272,,299,1.3,0.04,1.3,0.8,0,21.6,0,1.62,80.0,12,589,0,237,0.47,0.2,1,2024-08-14,114,370,0.0,149,119,0.99,137,187,3921,2.2,173,100.0,True,100.0,0.58,0.33,55.0,246,0,0.2,-1,False,,,2024-11-30T01:00:08.395710Z,0,250,0,7,,0,47.2,1,0,367,104,0,95,a,81,1.3,4.91
600,Yasin Ayari,50,MID,Brighton,0.11,1.17,143,1.28,226,Ayari,3,4799,0.0,10,255.0,0,137,0,0,920,,136,1.7,0.13,1.3,0.8,0,56.4,0,1.52,206.0,27,557,0,232,1.12,0.24,1,2023-01-30,111,228,0.0,81,60,0.98,87,77,4584,5.4,98,100.0,True,100.0,2.40,0.39,146.0,225,0,0.3,0,False,,,2024-12-03T12:30:09.025260Z,0,130,0,12,3.0,0,163.4,4,0,312,70,0,154,a,143,1.3,15.52
601,Andrew Moran,50,MID,Brighton,0.0,0.0,312,0.00,227,Moran,0,24,0.0,0,0.0,0,0,0,0,0,,695,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,0,692,0,680,0.00,0.0,0,,305,695,0.0,312,311,0.0,309,692,516,0.0,312,0.0,False,0.0,0.00,0.0,0.0,309,0,0.0,0,False,Loaned to Stoke City,,2024-08-20T12:19:09.002604Z,0,687,0,0,,0,0.0,0,0,695,0,0,2,u,144,0.0,0.00
615,Carl Rushworth,40,GKP,Brighton,0.0,0.0,63,0.00,639,Rushworth,0,6698,0.0,0,0.0,0,0,0,0,0,,529,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,0,533,0,464,0.00,0.0,0,,58,529,0.0,63,44,0.0,31,509,7350,0.0,63,0.0,False,0.0,0.00,0.0,0.0,67,0,0.0,0,False,Loaned to Hull City,,2024-08-31T06:28:38.039682Z,0,473,0,0,,0,0.0,0,0,535,0,0,161,u,61,0.0,0.00
618,Georginio Rutter,53,MID,Brighton,0.09,1.57,53,2.77,150,Georginio,2,313349,0.7,13,168.2,2,153,0,4,1034,,132,3.1,0.24,1.5,1.0,1,57.7,0,1.7,73.0,56,240,1,218,1.01,0.33,1,2024-08-19,102,215,0.0,78,92,1.13,38,133,255017,10.6,90,100.0,True,100.0,3.78,0.35,243.0,76,0,0.3,-2,False,,,2024-10-12T11:00:07.563830Z,2,64,0,18,,0,176.6,4,0,121,750,0,12054,a,88,1.5,19.55
628,Ferdi Kadioglu,45,DEF,Brighton,0.07,1.87,27,0.44,379,F.Kadıoğlu,1,73681,0.1,5,83.7,0,59,0,0,385,,285,3.2,0.1,0.0,0.0,0,24.0,0,2.21,219.0,19,413,0,557,0.31,0.17,0,2024-08-27,224,279,0.0,90,56,1.17,81,225,66289,4.2,104,25.0,True,0.0,0.75,0.47,40.0,148,0,0.0,0,False,Toe Injury - Unknown return date,,2024-11-10T01:30:09.967684Z,1,269,0,8,,0,116.4,2,0,110,35,0,1667,i,71,0.0,9.44
629,Matt O'Riley,55,MID,Brighton,0.27,1.78,108,1.05,109,O'Riley,1,16242,0.1,3,105.2,0,76,0,0,304,,271,2.1,0.31,0.8,0.3,2,27.3,0,1.34,58.0,15,519,0,316,0.92,0.58,1,2024-08-26,160,333,0.0,139,125,0.89,109,197,12523,2.7,157,100.0,True,100.0,1.97,0.3,94.0,202,0,0.1,0,False,,,2024-12-16T09:30:07.550940Z,1,187,0,6,1.0,0,73.0,1,1,249,243,0,635,a,67,0.8,4.51
663,Imari Samuels,40,DEF,Brighton,0.0,0.0,184,0.00,632,Samuels,0,4988,0.0,0,0.0,0,0,0,0,0,,522,0.0,0.0,0.0,-0.5,0,0.0,0,0.0,241.0,0,538,0,457,0.00,0.0,0,2023-05-17,163,522,0.0,185,182,0.0,168,502,3474,0.0,185,,True,,0.00,0.0,0.0,191,0,0.0,0,False,,,,0,466,0,0,,0,0.0,0,0,528,121,0,204,a,179,0.0,0.00
668,Killian Cahill,39,GKP,Brighton,0.0,0.0,46,0.00,706,Cahill,0,171946,1.3,0,0.0,1,0,0,0,0,,497,0.0,0.0,0.0,-0.5,0,0.0,0,0.0,104.0,0,186,0,429,0.00,0.0,0,2024-08-24,40,497,0.0,46,23,0.0,10,473,43087,0.0,46,,True,,0.00,0.0,0.0,27,0,0.0,-1,False,,,,0,434,0,0,,0,0.0,0,0,505,2701,0,5535,a,73,0.0,0.00
681,Ruairi McConville,40,DEF,Brighton,0.0,0.0,199,0.00,660,McConville,0,938,0.0,0,0.0,0,0,0,0,0,,543,0.0,0.0,0.0,-0.5,0,0.0,0,0.0,242.0,0,640,0,480,0.00,0.0,0,2024-11-22,179,543,0.0,199,197,0.0,186,524,571,0.0,199,,True,,0.00,0.0,0.0,217,0,0.0,0,False,,,,0,491,0,0,,0,0.0,0,0,550,88,0,86,a,200,0.0,0.00
685,Jacob Slater,40,DEF,Brighton,0.0,0.0,210,0.00,672,Slater,0,827,0.0,0,0.0,0,0,0,0,0,,554,0.0,0.0,0.0,-0.5,0,0.0,0,0.0,241.0,0,646,0,491,0.00,0.0,0,2024-11-28,190,554,0.0,210,208,0.0,197,535,544,0.0,210,,True,,0.00,0.0,0.0,220,0,0.0,0,False,,,,0,502,0,0,,0,0.0,0,0,561,75,0,86,a,212,0.0,0.00
150,Andrey Nascimento dos Santos,45,MID,Chelsea,0.0,0.0,281,0.00,444,Andrey Santos,0,0,0.0,0,0.0,0,0,0,0,0,,644,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,0,690,0,605,0.00,0.0,0,,253,644,0.0,278,279,0.0,274,639,606,0.0,278,0.0,False,0.0,0.00,0.0,0.0,307,0,0.0,0,False,Has joined Strasbourg on a season-long loan,,2024-08-05T10:16:34.176364Z,0,624,0,0,,0,0.0,0,0,650,0,0,3,u,274,0.0,0.00
151,Ângelo Gabriel Borges Damaceno,45,MID,Chelsea,0.0,0.0,275,0.00,435,Ângelo,0,5940,0.1,0,0.0,0,0,0,0,0,,636,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,0,431,0,597,0.00,0.0,0,,247,636,0.0,271,273,0.0,267,632,29162,0.0,271,0.0,False,0.0,0.00,0.0,0.0,156,0,0.0,0,False,Transferred to Al-Nassr,,2024-09-05T10:38:18.297070Z,0,616,0,0,,0,0.0,0,0,643,0,0,218,u,267,0.0,0.00
153,Benoît Badiashile,43,DEF,Chelsea,0.02,1.46,123,0.00,558,B.Badiashile,0,11920,0.1,2,8.8,2,22,0,0,247,,406,1.2,0.0,0.0,0.0,0,5.7,0,1.69,73.0,5,447,0,389,0.06,0.02,0,2023-01-05,137,366,0.0,137,135,0.73,215,402,19819,1.2,129,0.0,True,0.0,0.06,0.0,0.0,161,0,0.0,-2,False,Unknown - Unknown return date,,2024-12-16T10:30:07.655172Z,0,536,0,4,,0,48.2,0,0,371,17,0,576,i,131,0.2,4.63
154,Lucas Bergström,39,GKP,Chelsea,0.0,0.0,45,0.00,701,Bergström,0,18989,0.3,0,0.0,1,0,0,0,0,,495,0.0,0.0,0.5,0.5,0,0.0,0,0.0,72.0,0,322,0,426,0.00,0.0,0,2021-07-27,39,495,0.0,45,21,0.0,8,470,19306,0.0,45,,True,,0.00,0.0,0.0,48,0,0.0,-1,False,,,,0,430,0,0,,0,0.0,0,0,504,1365,0,801,a,71,0.0,0.00
155,Marcus Bettinelli,39,GKP,Chelsea,0.0,0.0,39,0.00,686,Bettinelli,0,29151,0.4,0,0.0,1,0,0,0,0,,487,0.0,0.0,0.5,0.5,0,0.0,0,0.0,241.0,0,275,0,416,0.00,0.0,0,2021-07-28,33,487,0.0,39,15,0.0,2,462,24861,0.0,39,,True,,0.00,0.0,0.0,43,0,0.0,-1,False,,,,0,421,0,0,,0,0.0,0,0,495,1016,0,1203,a,65,0.0,0.00
157,Moisés Caicedo Corozo,49,MID,Chelsea,0.08,1.18,55,0.48,274,Caicedo,4,252422,1.3,19,311.8,1,334,0,3,1685,,86,2.9,0.03,3.0,3.0,2,73.8,0,1.41,62.0,55,184,0,135,1.59,0.11,1,2023-08-14,62,57,0.0,53,42,1.01,134,55,203928,11.2,17,,True,,2.07,0.27,58.0,56,0,0.5,-1,False,,,,1,242,0,22,,0,367.2,5,0,136,8671,0,10266,a,179,2.5,26.31
158,Cesare Casadei,44,MID,Chelsea,0.0,0.0,240,0.00,516,Casadei,0,21927,0.1,0,0.0,1,0,0,0,0,,585,0.0,0.0,0.5,0.5,0,0.0,0,0.0,106.0,0,419,0,539,0.00,0.0,0,2022-08-19,207,585,0.0,236,238,0.0,230,579,25327,0.0,236,,True,,0.00,0.0,0.0,148,0,0.0,-1,False,,,,0,558,0,0,,0,0.0,0,0,592,527,0,720,a,307,0.0,0.00
160,Ben Chilwell,47,DEF,Chelsea,0.0,0.0,238,0.00,327,Chilwell,0,38757,0.5,0,0.0,3,0,0,0,0,,668,0.0,0.0,0.5,0.5,0,0.0,0,0.0,241.0,0,257,0,632,0.00,0.0,0,2020-08-26,229,668,0.0,238,238,0.0,235,663,91498,0.0,238,,True,,0.00,0.0,0.0,94,0,0.0,-3,False,,,,0,649,0,0,,0,0.0,0,0,672,1158,0,2127,a,42,0.0,0.00
161,Carney Chukwuemeka,48,MID,Chelsea,0.0,0.0,300,0.00,316,Chukwuemeka,0,4413,0.0,0,0.0,2,0,0,0,0,,675,0.0,0.0,0.5,0.5,0,0.0,0,0.0,241.0,0,528,0,647,0.00,0.0,0,2022-08-04,280,675,0.0,299,299,0.0,295,670,7676,0.0,299,100.0,True,100.0,0.00,0.0,0.0,208,0,0.0,-2,False,,,2024-10-04T12:30:06.437566Z,0,660,0,0,,0,0.0,0,0,677,87,0,110,a,205,0.0,0.00
162,Levi Colwill,46,DEF,Chelsea,0.06,1.22,54,0.38,352,Colwill,4,900561,5.2,18,118.3,-1,215,0,1,1620,,145,2.5,0.02,2.7,2.7,1,52.9,0,1.41,241.0,45,77,0,158,1.05,0.08,0,2022-07-01,49,66,0.0,37,44,1.0,68,183,441634,9.8,24,100.0,True,100.0,1.43,0.22,59.0,26,0,0.5,1,False,,,2024-11-12T14:30:07.619476Z,0,237,0,22,,0,351.4,4,0,184,14638,0,39599,a,53,2.2,25.45
163,Marc Cucurella Saseta,52,DEF,Chelsea,0.09,1.2,47,0.43,162,Cucurella,6,946366,7.0,15,155.7,-2,201,0,2,1355,,175,2.6,0.03,2.7,2.7,2,48.2,0,1.35,200.0,44,55,1,168,1.42,0.12,1,2022-08-05,51,164,0.0,51,29,1.0,41,139,910352,8.5,62,100.0,True,100.0,1.85,0.2,96.0,17,0,0.4,2,False,,,2024-12-16T09:30:06.586582Z,1,182,1,18,,0,230.2,3,0,171,28549,0,48852,a,20,2.2,20.35
164,David Datro Fofana,54,FWD,Chelsea,0.0,0.0,74,0.00,137,D.D.Fofana,0,4727,0.1,0,0.0,1,0,0,0,0,,702,0.0,0.0,0.0,0.0,0,0.0,0,0.0,54.0,0,495,0,693,0.00,0.0,0,,73,702,0.0,74,74,0.0,74,700,15045,0.0,74,0.0,False,0.0,0.00,0.0,0.0,66,0,0.0,-1,False,Transferred to AEK Athens,,2024-09-11T14:26:52.770225Z,0,699,0,0,,0,0.0,0,0,702,0,0,38,u,41,0.0,0.00
165,Deivid Washington de Souza Eugênio,49,FWD,Chelsea,0.0,0.0,70,0.00,282,Deivid,0,15290,0.1,0,0.0,1,0,0,0,0,,684,0.0,0.0,0.5,0.5,0,0.0,0,0.0,30.0,0,402,0,665,0.00,0.0,0,2023-08-24,65,684,0.0,69,68,0.0,69,679,19092,0.0,69,,True,,0.00,0.0,0.0,61,0,0.0,-1,False,,,,0,673,0,0,,0,0.0,0,0,685,259,0,509,a,58,0.0,0.00
